valid for analyze, link to analyze
FALSE, http://eclipse.org/membership/showMember.php?member_id=1269
FALSE, http://events.eclipse.org/
FALSE, http://marketplace.eclipse.org/
FALSE, http://www.planeteclipse.org/
FALSE, https://blogs.eclipse.org/
FALSE, https://bugs.eclipse.org/bugs/
FALSE, https://calypsonet.github.io/keyple/
FALSE, https://calypsonet.github.io/keyple/KeypleCalypsoApi/Application
FALSE, https://calypsonet.github.io/keyple/KeypleCalypsoApi/KeypleCalypso_Transaction.html
FALSE, https://calypsonet.github.io/keyple/KeypleCoreApi/Application/
FALSE, https://calypsonet.github.io/keyple/KeypleCoreApi/KeypleCore_ApplicationApi.html
FALSE, https://calypsonet.github.io/keyple/KeypleCoreApi/KeypleCore_PluginApi.html
FALSE, https://calypsonet.github.io/keyple/KeypleCoreApi/KeypleCore_SolutionApi.html
FALSE, https://calypsonet.github.io/keyple/KeypleCoreApi/Plugin
FALSE, https://calypsonet.github.io/keyple/KeypleCoreApi/SeChannel
FALSE, https://calypsonet.github.io/keyple/MigrationGuide_0.8.1_to_0.9/
FALSE, https://github.com/eclipse/keyple-cpp
FALSE, https://github.com/eclipse/keyple-cpp#eclipse-keyple-c-implementation
FALSE, https://github.com/eclipse/keyple-java
FALSE, https://github.com/eclipse/keyple-java#eclipse-keyple-java-implementation
FALSE, https://help.eclipse.org/
FALSE, https://jakartaone.org/2020/
FALSE, https://marketplace.eclipse.org/
FALSE, https://projects.eclipse.org/
FALSE, https://projects.eclipse.org/content/eclipse-distribution-license-1.0-bsd
FALSE, https://projects.eclipse.org/license/epl-2.0
FALSE, https://projects.eclipse.org/projects/iot
TRUE, https://projects.eclipse.org/projects/iot.keyple
TRUE, https://projects.eclipse.org/projects/iot.keyple/contact
TRUE, https://projects.eclipse.org/projects/iot.keyple/developer
TRUE, https://projects.eclipse.org/projects/iot.keyple/downloads
TRUE, https://projects.eclipse.org/projects/iot.keyple/governance
TRUE, https://projects.eclipse.org/projects/iot.keyple/releases/0.7.0-0
TRUE, https://projects.eclipse.org/projects/iot.keyple/releases/0.8.0-java-2001
TRUE, https://projects.eclipse.org/projects/iot.keyple/releases/0.8.1-cpp-2005
TRUE, https://projects.eclipse.org/projects/iot.keyple/releases/0.8.1-java-2005
TRUE, https://projects.eclipse.org/projects/iot.keyple/releases/0.9.0-java-2009
TRUE, https://projects.eclipse.org/projects/iot.keyple/reviews/0.7.0-java-1907-release-review
TRUE, https://projects.eclipse.org/projects/iot.keyple/reviews/0.8.0-java-2001-release-review
TRUE, https://projects.eclipse.org/projects/iot.keyple/who
TRUE, https://projects.eclipse.org/projects/iot.keyple#
TRUE, https://projects.eclipse.org/projects/iot.keyple#content
FALSE, https://projects.eclipse.org/technology-type/internet-things
FALSE, https://projects.eclipse.org/user/login?destination=node/15377
FALSE, https://status.eclipse.org/
FALSE, https://twitter.com/EclipseFdn
FALSE, https://wiki.eclipse.org/
FALSE, https://wiki.eclipse.org/IRC
FALSE, https://www.eclipse.org/
FALSE, https://www.eclipse.org/artwork/
FALSE, https://www.eclipse.org/community/eclipse_newsletter/
FALSE, https://www.eclipse.org/contribute/
FALSE, https://www.eclipse.org/donate
FALSE, https://www.eclipse.org/downloads
FALSE, https://www.eclipse.org/downloads/
FALSE, https://www.eclipse.org/eclipseide
FALSE, https://www.eclipse.org/forums/
FALSE, https://www.eclipse.org/forums/index.php/f/89/
FALSE, https://www.eclipse.org/getting_started
FALSE, https://www.eclipse.org/ide/
FALSE, https://www.eclipse.org/legal/
FALSE, https://www.eclipse.org/legal/copyright.php
FALSE, https://www.eclipse.org/legal/epl-2.0/
FALSE, https://www.eclipse.org/legal/privacy.php
FALSE, https://www.eclipse.org/legal/termsofuse.php
FALSE, https://www.eclipse.org/mail/
FALSE, https://www.eclipse.org/membership/
FALSE, https://www.eclipse.org/org/
FALSE, https://www.eclipse.org/org/documents/
FALSE, https://www.eclipse.org/org/documents/Community_Code_of_Conduct.php
FALSE, https://www.eclipse.org/org/foundation/contact.php
FALSE, https://www.eclipse.org/org/foundation/directors.php
FALSE, https://www.eclipse.org/org/research/
FALSE, https://www.eclipse.org/org/workinggroups/
FALSE, https://www.eclipse.org/projects
FALSE, https://www.eclipse.org/projects/
FALSE, https://www.eclipse.org/projects/what-is-incubation.php
FALSE, https://www.eclipse.org/security/
FALSE, https://www.facebook.com/eclipse.org
FALSE, https://www.linkedin.com/company/eclipse-foundation
FALSE, https://www.youtube.com/user/EclipseFdn
